"latitude","longitude","elevation","time","hr","name","cadence","speed","distance","power","temperature"
"33.1266299","-117.3274386","-18.524","2018-03-23T17:25:37.375000Z","0","GPS5","0","0.71","0","0","0"
"33.1266304","-117.3274384","-18.484","2018-03-23T17:25:37.430556Z","0","GPS5","0","0.892","0","0","0"
"33.1266307","-117.3274386","-18.414","2018-03-23T17:25:37.486111Z","0","GPS5","0","0.927","0","0","0"
"33.1266307","-117.3274393","-18.377","2018-03-23T17:25:37.541667Z","0","GPS5","0","0.75","0","0","0"
"33.126631","-117.3274397","-18.377","2018-03-23T17:25:37.597222Z","0","GPS5","0","0.796","0","0","0"
"33.1266316","-117.3274397","-18.395","2018-03-23T17:25:37.652778Z","0","GPS5","0","0.942","0","0","0"
"33.126632","-117.3274398","-18.374","2018-03-23T17:25:37.708333Z","0","GPS5","0","0.936","0","0","0"
"33.1266323","-117.32744","-18.369","2018-03-23T17:25:37.763889Z","0","GPS5","0","0.87","0","0","0"
"33.1266327","-117.3274403","-18.376","2018-03-23T17:25:37.819444Z","0","GPS5","0","0.859","0","0","0"
"33.126633","-117.3274409","-18.377","2018-03-23T17:25:37.875000Z","0","GPS5","0","0.913","0","0","0"
"33.1266333","-117.3274415","-18.366","2018-03-23T17:25:37.930556Z","0","GPS5","0","0.98","0","0","0"
"33.1266337","-117.327442","-18.322","2018-03-23T17:25:37.986111Z","0","GPS5","0","1.044","0","0","0"
"33.126634","-117.3274424","-18.301","2018-03-23T17:25:38.041667Z","0","GPS5","0","0.978","0","0","0"
"33.1266344","-117.3274427","-18.301","2018-03-23T17:25:38.097222Z","0","GPS5","0","0.898","0","0","0"
"33.1266346","-117.3274429","-18.315","2018-03-23T17:25:38.152778Z","0","GPS5","0","0.752","0","0","0"
"33.1266349","-117.3274434","-18.306","2018-03-23T17:25:38.208333Z","0","GPS5","0","0.792","0","0","0"
"33.1266351","-117.327444","-18.283","2018-03-23T17:25:38.263889Z","0","GPS5","0","0.966","0","0","0"
"33.1266357","-117.3274444","-18.287","2018-03-23T17:25:38.319444Z","0","GPS5","0","1.139","0","0","0"
"33.1266363","-117.3274444","-18.332","2018-03-23T17:25:38.375000Z","0","GPS5","0","1.182","0","0","0"
"33.1266368","-117.3274445","-18.352","2018-03-23T17:25:38.420000Z","0","GPS5","0","1.12","0","0","0"
"33.1266372","-117.3274448","-18.357","2018-03-23T17:25:38.475556Z","0","GPS5","0","1.009","0","0","0"
"33.1266375","-117.3274453","-18.333","2018-03-23T17:25:38.531111Z","0","GPS5","0","0.965","0","0","0"
"33.1266379","-117.3274459","-18.313","2018-03-23T17:25:38.586667Z","0","GPS5","0","0.985","0","0","0"
"33.126638","-117.3274471","-18.173","2018-03-23T17:25:38.642222Z","0","GPS5","0","1.013","0","0","0"
"33.1266382","-117.3274478","-18.107","2018-03-23T17:25:38.697778Z","0","GPS5","0","0.985","0","0","0"
"33.1266388","-117.3274475","-18.168","2018-03-23T17:25:38.753333Z","0","GPS5","0","0.944","0","0","0"
"33.1266393","-117.3274478","-18.164","2018-03-23T17:25:38.808889Z","0","GPS5","0","1.064","0","0","0"
"33.1266399","-117.327448","-18.164","2018-03-23T17:25:38.864444Z","0","GPS5","0","1.206","0","0","0"
"33.1266404","-117.3274485","-18.146","2018-03-23T17:25:38.920000Z","0","GPS5","0","1.293","0","0","0"
"33.126641","-117.3274488","-18.147","2018-03-23T17:25:38.975556Z","0","GPS5","0","1.294","0","0","0"
