"latitude","longitude","elevation","time","hr","name","cadence","speed","distance","power","temperature"
"40.3344534","-4.332822","952.037","2019-02-24T11:19:55.644000Z","0","GPS5","0","0.176","0","0","0"
"40.3344535","-4.3328219","952.029","2019-02-24T11:19:55.699556Z","0","GPS5","0","0.155","0","0","0"
"40.3344535","-4.3328219","952.042","2019-02-24T11:19:55.755111Z","0","GPS5","0","0.05","0","0","0"
"40.3344535","-4.3328219","952.046","2019-02-24T11:19:55.810667Z","0","GPS5","0","0.027","0","0","0"
"40.3344535","-4.3328218","952.042","2019-02-24T11:19:55.866222Z","0","GPS5","0","0.025","0","0","0"
"40.3344535","-4.3328218","952.043","2019-02-24T11:19:55.921778Z","0","GPS5","0","0.03","0","0","0"
"40.3344534","-4.3328218","952.049","2019-02-24T11:19:55.977333Z","0","GPS5","0","0.057","0","0","0"
"40.3344534","-4.3328217","952.062","2019-02-24T11:19:56.032889Z","0","GPS5","0","0.067","0","0","0"
"40.3344535","-4.3328216","952.065","2019-02-24T11:19:56.088444Z","0","GPS5","0","0.04","0","0","0"
"40.3344536","-4.3328216","952.077","2019-02-24T11:19:56.144000Z","0","GPS5","0","0.041","0","0","0"
"40.3344536","-4.3328216","952.084","2019-02-24T11:19:56.199556Z","0","GPS5","0","0.038","0","0","0"
"40.3344537","-4.3328216","952.081","2019-02-24T11:19:56.255111Z","0","GPS5","0","0.032","0","0","0"
"40.3344537","-4.3328216","952.079","2019-02-24T11:19:56.310667Z","0","GPS5","0","0.04","0","0","0"
"40.3344537","-4.3328216","952.088","2019-02-24T11:19:56.366222Z","0","GPS5","0","0.036","0","0","0"
"40.3344537","-4.3328215","952.084","2019-02-24T11:19:56.421778Z","0","GPS5","0","0.043","0","0","0"
"40.3344536","-4.3328217","952.081","2019-02-24T11:19:56.477333Z","0","GPS5","0","0.088","0","0","0"
"40.3344539","-4.3328218","952.094","2019-02-24T11:19:56.532889Z","0","GPS5","0","0.194","0","0","0"
"40.3344539","-4.3328218","952.082","2019-02-24T11:19:56.588444Z","0","GPS5","0","0.11","0","0","0"
"40.3344539","-4.3328218","952.077","2019-02-24T11:19:56.644000Z","0","GPS5","0","0.05","0","0","0"
"40.3344537","-4.3328221","952.05","2019-02-24T11:19:56.699556Z","0","GPS5","0","0.183","0","0","0"
"40.3344539","-4.3328222","952.046","2019-02-24T11:19:56.755111Z","0","GPS5","0","0.183","0","0","0"
"40.3344539","-4.3328222","952.049","2019-02-24T11:19:56.810667Z","0","GPS5","0","0.126","0","0","0"
"40.3344539","-4.3328221","952.047","2019-02-24T11:19:56.854000Z","0","GPS5","0","0.052","0","0","0"
"40.3344539","-4.3328221","952.028","2019-02-24T11:19:56.909556Z","0","GPS5","0","0.045","0","0","0"
"40.3344539","-4.332822","952.046","2019-02-24T11:19:56.965111Z","0","GPS5","0","0.021","0","0","0"
"40.334454","-4.3328221","952.044","2019-02-24T11:19:57.020667Z","0","GPS5","0","0.066","0","0","0"
"40.334454","-4.3328222","952.027","2019-02-24T11:19:57.076222Z","0","GPS5","0","0.096","0","0","0"
"40.3344541","-4.3328222","952.03","2019-02-24T11:19:57.131778Z","0","GPS5","0","0.059","0","0","0"
"40.3344542","-4.3328219","952.028","2019-02-24T11:19:57.187333Z","0","GPS5","0","0.144","0","0","0"
"40.3344541","-4.3328218","952.032","2019-02-24T11:19:57.242889Z","0","GPS5","0","0.152","0","0","0"
"40.3344541","-4.3328216","952.023","2019-02-24T11:19:57.298444Z","0","GPS5","0","0.183","0","0","0"
"40.3344542","-4.3328215","952.04","2019-02-24T11:19:57.354000Z","0","GPS5","0","0.133","0","0","0"
"40.3344543","-4.3328216","952.047","2019-02-24T11:19:57.409556Z","0","GPS5","0","0.113","0","0","0"
"40.3344543","-4.3328215","952.038","2019-02-24T11:19:57.465111Z","0","GPS5","0","0.075","0","0","0"
"40.3344543","-4.3328215","952.023","2019-02-24T11:19:57.520667Z","0","GPS5","0","0.068","0","0","0"
"40.3344544","-4.3328216","952.024","2019-02-24T11:19:57.576222Z","0","GPS5","0","0.032","0","0","0"
