"latitude","longitude","elevation","time","hr","name","cadence","speed","distance","power","temperature"
"33.125381","-117.3310731","15.343","2017-04-17T21:27:58.000000Z","0","","0","0.25","0","0","0"
"33.1254168","-117.3310965","15.456","2017-04-17T21:27:59.000000Z","0","","0","0.25","0","0","0"
"33.125453","-117.3311205","15.596","2017-04-17T21:28:00.000000Z","0","","0","0.25","0","0","0"
"33.1255079","-117.3311563","15.737","2017-04-17T21:28:01.000000Z","0","","0","0.25","0","0","0"
"33.1255686","-117.3311953","16.001","2017-04-17T21:28:02.000000Z","0","","0","0.25","0","0","0"
"33.1256317","-117.3312357","16.238","2017-04-17T21:28:03.000000Z","0","","0","0.25","0","0","0"
"33.1256955","-117.3312767","16.402","2017-04-17T21:28:04.000000Z","0","","0","0.25","0","0","0"
"33.1257598","-117.3313183","16.609","2017-04-17T21:28:05.000000Z","0","","0","0.25","0","0","0"
"33.1258239","-117.3313598","16.553","2017-04-17T21:28:06.000000Z","0","","0","0.25","0","0","0"
"33.125888","-117.3314013","16.389","2017-04-17T21:28:07.000000Z","0","","0","0.28","0","0","0"
"33.125952","-117.3314429","16.214","2017-04-17T21:28:08.000000Z","0","","0","0.28","0","0","0"
